PlayerName,playYear,PlayingMatch,innings,Notout,runs,HighstScores,avarage,ballsFaced,BattingSR,Hundreds,fiftes,ducks,four,sixes
SA Abbott,2014-2022,7,6,0,105,49,17.50,96,109.37,0,0,0,13,1
AC Agar,2015-2022,20,16,4,257,46,21.41,298,86.24,0,0,3,25,2
WA Agar,2021-2021,2,2,0,50,41,25.00,42,119.04,0,0,0,4,2
TM Alderman,1981-1991,65,18,6,32,9*,2.66,97,32.98,0,0,6,2,0
J Angel,1994-1995,3,1,0,0,0,0.00,3,0.00,0,0,1,0,0
GJ Bailey,2012-2016,90,85,10,3044,156,40.58,3645,83.51,3,22,3,222,57
GR Beard,1981-1981,2,-,-,-,-,-,-,-,-,-,-,-,-
JP Behrendorff,2019-2022,12,6,3,21,11*,7.00,23,91.30,0,0,1,0,0
MJ Bennett,1984-1985,8,4,1,9,6*,3.00,21,42.85,0,0,2,0,0
MG Bevan,1994-2004,232,196,67,6912,108*,53.58,9320,74.16,6,46,5,450,21
AJ Bichel,1997-2004,67,36,13,471,64,20.47,600,78.50,0,1,5,33,10
GA Bishop,1987-1987,2,2,0,13,7,6.50,44,29.54,0,0,0,1,0
GS Blewett,1995-1999,32,30,3,551,57*,20.40,889,61.97,0,2,3,35,3
SM Boland,2016-2016,14,4,1,9,4,3.00,22,40.90,0,0,1,0,0
DE Bollinger,2009-2011,39,8,2,50,30,8.33,54,92.59,0,0,1,5,0
DC Boon,1984-1995,181,177,16,5964,122,37.04,9157,65.13,5,37,6,494,16
AR Border,1979-1994,273,252,39,6524,127*,30.62,9134,71.42,3,39,11,500,43
NW Bracken,2001-2009,116,35,18,199,21*,11.70,282,70.56,0,0,5,10,5
RJ Bright,1974-1986,11,8,4,66,19*,16.50,122,54.09,0,0,1,3,1
JA Burns,2015-2015,6,6,0,146,69,24.33,184,79.34,0,1,1,16,1
IW Callen,1978-1982,5,3,2,6,3*,6.00,13,46.15,0,0,1,0,0
GD Campbell,1989-1990,12,3,1,6,4*,3.00,19,31.57,0,0,1,0,0
RJ Campbell,2002-2002,2,2,0,54,38,27.00,70,77.14,0,0,0,6,0
AT Carey,2018-2022,61,56,10,1617,106,35.15,1844,87.68,1,7,3,151,13
PH Carlson,1979-1979,4,2,0,11,11,5.50,30,36.66,0,0,1,2,0
HWR Cartwright,2017-2017,2,2,0,2,1,1.00,23,8.69,0,0,0,0,0
GS Chappell,1971-1983,74,72,14,2331,138*,40.18,3079,75.70,3,14,7,195,7
IM Chappell,1971-1980,16,16,2,673,86,48.07,874,77.00,0,8,0,74,7
