PlayerName,playYear,PlayingMatch,innings,Notout,runs,HighstScores,avarage,ballsFaced,BattingSR,Hundreds,fiftes,ducks,four,sixes
AR Adams,2001-2007,42,34,10,419,45,17.45,417,100.47,0,0,1,31,18
GW Aldridge,2011-2011,2,-,-,-,-,-,-,-,-,-,-,-,-
FH Allen,2022-2022,8,8,0,308,96,38.50,331,93.05,0,3,0,37,9
GI Allott,1997-2000,31,11,6,17,7*,3.40,56,30.35,0,0,2,0,0
CJ Anderson,2013-2017,49,45,5,1109,131*,27.72,1020,108.72,1,4,4,86,55
RW Anderson,1976-1978,2,2,1,16,12,16.00,46,34.78,0,0,0,1+,0
NJ Astle,1995-2007,223,217,14,7090,145*,34.92,9760,72.64,16,41,19,720,86
TD Astle,2017-2019,9,5,2,79,49,26.33,77,102.59,0,0,0,5,2
MD Bailey,1998-1998,1,-,-,-,-,-,-,-,-,-,-,-,-
MD Bates,2012-2012,2,1,0,13,13,13.00,10,130.00,0,0,0,1,1
MD Bell,1998-2001,7,7,0,133,66,19.00,268,49.62,0,1,0,10,0
HK Bennett,2010-2020,19,7,5,10,4*,5.00,35,28.57,0,0,1,0,0
TE Blain,1986-1994,38,38,11,442,49*,16.37,662,66.76,0,0,6,27,4
BR Blair,1982-1986,14,14,2,174,29*,14.50,253,68.77,0,0,2,12,1
TA Blundell,2020-2020,2,2,0,31,22,15.50,35,88.57,0,0,0,4,0
SE Bond,2002-2010,82,40,22,292,31*,16.22,384,76.04,0,0,2,19,9
SL Boock,1978-1987,14,7,4,30,12,10.00,31,96.77,0,0,1,2,1
TA Boult,2012-2022,99,45,24,191,21*,9.09,245,77.95,0,0,2,19,6
BP Bracewell,1978-1978,1,1,1,0,0*,-,4,0.00,0,0,0,0,0
DAJ Bracewell,2011-2022,21,14,2,221,57,18.41,274,80.65,0,1,1,14,7
JG Bracewell,1983-1990,53,43,12,512,43,16.51,717,71.40,0,0,6,36,3
MG Bracewell,2022-2022,12,10,4,264,127*,44.00,238,110.92,1,0,0,22,11
GE Bradburn,1990-2001,11,10,3,60,30,8.57,130,46.15,0,0,1,1,0
NT Broom,2009-2017,39,39,4,943,109*,26.94,1161,81.22,1,5,7,78,12
VR Brown,1988-1988,3,3,0,44,32,14.66,85,51.76,0,0,0,3,0
DG Brownlie,2012-2017,16,15,1,361,63,25.78,486,74.27,0,1,0,46,1
CE Bulfin,1999-1999,4,2,1,9,7*,9.00,8,112.50,0,0,0,0,1
MG Burgess,1973-1981,26,20,0,336,47,16.80,515,65.24,0,0,1,19,2
IG Butler,2002-2010,26,13,5,84,25,10.50,154,54.54,0,0,2,6,2
BL Cairns,1974-1985,78,65,6,987,60,16.72,941,104.88,0,2,6,70+,41+
CL Cairns,1991-2006,214,192,25,4881,115,29.22,5827,83.76,4,25,9,339,151
TK Canning,2003-2005,4,4,1,52,23*,17.33,73,71.23,0,0,1,1,2
MS Chapman,2018-2022,5,5,1,111,101*,27.75,100,111.00,1,0,1,7,7
EJ Chatfield,1979-1989,114,48,37,118,19*,10.72,346,34.10,0,0,6,6,0
D Cleaver,2022-2022,1,1,0,32,32,32.00,37,86.48,0,0,0,3,0
RO Collinge,1973-1978,15,9,3,34,9,5.66,62,54.83,0,0,1,0+,1+
PG Coman,1973-1974,3,3,0,62,38,20.66,104,59.61,0,0,1,3+,2+
JV Coney,1979-1987,88,80,19,1874,66*,30.72,2885,64.95,0,8,1,128,12
BE Congdon,1973-1978,11,9,3,338,101,56.33,472,71.61,1,2,0,29,2
DP Conway,2021-2022,9,9,0,363,126,40.33,464,78.23,1,2,0,41,1
JJ Crowe,1983-1990,75,71,12,1518,88*,25.72,2456,61.80,0,7,6,110,12
MD Crowe,1982-1995,143,140,18,4704,107*,38.55,6476,72.63,4,34,3,378,29
CD Cumming,2003-2009,13,13,1,161,45*,13.41,301,53.48,0,0,3,20,0
HT Davis,1994-1997,11,6,4,13,7*,6.50,33,39.39,0,0,1,0,0
C de Grandhomme,2012-2022,45,35,7,742,74*,26.50,699,106.15,0,4,2,58,29
RP de Groen,1993-1994,12,8,3,12,7*,2.40,36,33.33,0,0,4,0,0
AP Devcich,2013-2016,12,11,0,195,58,17.72,253,77.07,0,1,2,25,0
BJ Diamanti,2009-2009,1,1,1,26,26*,-,22,118.18,0,0,0,3,0
MW Douglas,1994-1995,6,6,0,55,30,9.16,123,44.71,0,0,1,2,1
SB Doull,1992-2000,42,27,13,172,22,12.28,188,91.48,0,0,2,12,5
CJ Drum,1999-1999,5,2,2,9,7*,-,22,40.90,0,0,0,1,0
JA Duffy,2022-2022,2,-,-,-,-,-,-,-,-,-,-,-,-
BA Edgar,1978-1986,64,64,5,1814,102*,30.74,3685,49.22,1,10,3,126+,3+
GN Edwards,1976-1981,6,6,0,138,41,23.00,191,72.25,0,0,1,12+,1+
GD Elliott,2008-2016,83,69,11,1976,115,34.06,2416,81.78,2,11,6,151,28
AM Ellis,2012-2013,15,12,1,154,33,14.00,184,83.69,0,0,1,10,2
LH Ferguson,2016-2022,44,20,9,80,19,7.27,163,49.07,0,0,4,4,1
