PlayerName,playYear,PlayingMatch,innings,Notout,runs,HighstScores,avarage,ballsFaced,BattingSR,Hundreds,fiftes,ducks,four,sixes
Aamer Hameed,1977-1978,2,-,-,-,-,-,-,-,-,-,-,-,-
Aamer Hanif,1993-1995,5,4,2,89,36*,44.50,128,69.53,0,0,0,6,0
Aamer Malik,1988-1994,24,23,1,556,90,25.27,989,56.21,0,5,1,40+,0+
Aamer Nazir,1993-1995,9,3,2,13,9*,13.00,20,65.00,0,0,0,0,0
Aamer Sohail,1990-2000,156,155,5,4780,134,31.86,7297,65.50,5,31,10,467+,20+
Aamer Yamin,2015-2018,4,3,2,95,62,95.00,96,98.95,0,1,0,8,5
Aaqib Javed,1988-1998,163,51,26,267,45*,10.68,456,58.55,0,0,7,15,7
Abdullah Shafique,2022-2022,1,1,0,2,2,2.00,5,40.00,0,0,0,0,0
Abdul Qadir,1983-1993,104,68,26,641,41*,15.26,849,75.50,0,0,6,36,17
Abdul Razzaq,1996-2011,261,225,57,5031,112,29.94,6160,81.67,3,23,13,379,124
Abdur Rauf,2008-2008,4,-,-,-,-,-,-,-,-,-,-,-,-
Abdur Rehman,2006-2014,31,23,6,142,31,8.35,263,53.99,0,0,4,11,1
Abid Ali,2019-2020,6,6,0,234,112,39.00,250,93.60,1,1,1,29,0
Adnan Akmal,2011-2012,5,4,1,62,27,20.66,89,69.66,0,0,0,3,0
Agha Salman,2022-2022,3,3,2,101,50*,101.00,93,108.60,0,1,0,9,2
Ahmed Shehzad,2009-2017,81,81,1,2605,124,32.56,3614,72.08,6,14,7,269,18
Aizaz Cheema,2011-2012,14,6,3,26,9*,8.66,45,57.77,0,0,0,2,0
Akhtar Sarfraz,1997-1998,4,4,0,66,25,16.50,99,66.66,0,0,0,4,1
Akram Raza,1989-1995,49,25,14,193,33*,17.54,310,62.25,0,0,4,8,2
Anil Dalpat,1984-1986,15,10,3,87,37,12.42,136,63.97,0,0,1,7,0
Anwar Ali,2013-2016,22,16,5,321,43*,29.18,367,87.46,0,0,0,29,7
Arshad Khan,1993-2006,58,29,18,133,20,12.09,217,61.29,0,0,5,6,1
Arshad Pervez,1978-1978,2,2,0,11,8,5.50,47,23.40,0,0,0,0,0
Asad Ali,2013-2013,4,2,0,13,11,6.50,16,81.25,0,0,0,0,1
Asad Shafiq,2010-2017,60,58,4,1336,84,24.74,1979,67.50,0,9,5,108,5
Ashfaq Ahmed,1994-1994,3,-,-,-,-,-,-,-,-,-,-,-,-
Ashraf Ali,1980-1985,16,9,5,69,19*,17.25,135,51.11,0,0,1,3,0
Asif Ali,2018-2022,21,16,1,382,52,25.46,314,121.65,0,3,0,22,21
Asif Iqbal,1973-1979,10,8,2,330,62,55.00,466,70.81,0,5,0,28+,1+
Asif Mahmood,1998-1998,2,2,0,14,14,7.00,34,41.17,0,0,1,2,0
Asif Masood,1973-1976,7,3,1,10,6,5.00,17,58.82,0,0,1,1+,0
Asif Mujtaba,1986-1996,66,55,14,1068,113*,26.04,1671,63.91,1,6,8,66,2
Ata-ur-Rehman,1992-1996,30,13,6,34,11*,4.85,76,44.73,0,0,2,2,0
Atiq-uz-Zaman,2000-2000,3,3,1,34,18,17.00,36,94.44,0,0,0,2,0
Azam Khan,1996-1998,6,5,0,116,72,23.20,177,65.53,0,1,0,6,0
Azeem Hafeez,1983-1985,15,10,7,45,15,15.00,104,43.26,0,0,1,5,0
Azhar Ali,2011-2018,53,53,3,1845,102,36.90,2478,74.45,3,12,3,168,14
Azhar Mahmood,1996-2007,143,110,26,1521,67,18.10,1988,76.50,0,3,9,119,24
Azmat Rana,1978-1978,2,2,1,42,22*,42.00,73,57.53,0,0,0,-,-
Babar Azam,2015-2022,92,90,12,4664,158,59.79,5197,89.74,17,22,3,423,46
Basit Ali,1993-1996,50,43,6,1265,127*,34.18,1669,75.79,1,9,3,81,18
Bazid Khan,2004-2008,5,5,0,131,66,26.20,232,56.46,0,2,1,7,1
Bilal Asif,2015-2015,3,3,0,40,38,13.33,49,81.63,0,0,1,6,1
Bilawal Bhatti,2013-2015,10,7,1,89,39,14.83,75,118.66,0,0,1,10,2
Danish Aziz,2021-2021,2,2,0,12,9,6.00,20,60.00,0,0,0,2,0
Danish Kaneria,2001-2007,18,10,8,12,6*,6.00,22,54.54,0,0,2,1,0
Ehsan Adil,2013-2015,6,4,1,27,15,9.00,42,64.28,0,0,0,2,0
Faheem Ashraf,2017-2021,31,22,3,218,28,11.47,260,83.84,0,0,2,18,7
Faisal Athar,2003-2003,1,1,0,9,9,9.00,38,23.68,0,0,0,1,0
Faisal Iqbal,2000-2006,18,16,2,314,100*,22.42,519,60.50,1,0,3,24,4
Fakhar Zaman,2017-2022,62,62,4,2628,210*,45.31,2807,93.62,7,14,5,301,48
Fawad Alam,2007-2015,38,36,12,966,114*,40.25,1297,74.47,1,6,3,59,6
Fazl-e-Akbar,1998-2001,2,1,0,7,7,7.00,8,87.50,0,0,0,0,0
Ghulam Ali,1993-1995,3,3,0,53,38,17.66,121,43.80,0,0,0,2,0
Haafiz Shahid,1988-1988,3,3,2,11,7*,11.00,23,47.82,0,0,0,0,0
Haider Ali,2020-2020,2,2,0,42,29,21.00,33,127.27,0,0,0,4,2
Hammad Azam,2011-2015,11,7,2,80,36,16.00,131,61.06,0,0,0,5,2
Haris Rauf,2020-2022,15,5,3,9,7,4.50,29,31.03,0,0,0,1,0
Haris Sohail,2013-2020,42,41,5,1685,130,46.80,1977,85.23,2,14,1,135,26
Haroon Rasheed,1977-1982,12,10,2,166,63*,20.75,316,52.53,0,1,0,6+,0+
Hasan Ali,2016-2022,60,35,11,363,59,15.12,299,121.40,0,2,3,24,24
Hasan Jamil,1977-1978,6,5,0,111,28,22.20,120,92.50,0,0,0,3+,2+
Hasan Raza,1996-1999,16,13,0,242,77,18.61,480,50.41,0,1,1,11,1
Humayun Farhat,2001-2001,5,3,0,60,39,20.00,56,107.14,0,0,0,5,2
Hussain Talat,2019-2019,1,1,0,2,2,2.00,14,14.28,0,0,0,0,0
Iftikhar Ahmed,2015-2022,10,9,4,124,32*,24.80,148,83.78,0,0,0,9,4
Iftikhar Anjum,2004-2010,62,34,19,234,32,15.60,378,61.90,0,0,4,15,3
Ijaz Ahmed,1986-2000,250,232,29,6564,139*,32.33,8174,80.30,10,37,14,531+,87+
Ijaz Ahmed,1997-1997,2,1,1,3,3*,-,2,150.00,0,0,0,0,0
Ijaz Faqih,1980-1988,27,19,3,197,42*,12.31,351,56.12,0,0,4,15,0
Imad Wasim,2015-2020,55,40,17,986,63*,42.86,894,110.29,0,5,1,91,19
Imam-ul-Haq,2017-2022,54,54,6,2528,151,52.66,3052,82.83,9,14,3,198,24
Imran Abbas,2000-2000,2,2,0,29,28,14.50,63,46.03,0,0,0,0,0
Imran Farhat,2001-2013,58,58,2,1719,107,30.69,2489,69.06,1,13,3,190,16
Imran Khan,1974-1992,175,151,40,3709,102*,33.41,5105,72.65,1,19,6,222+,45+
Imran Nazir,1999-2009,79,79,2,1895,160,24.61,2339,81.01,2,9,10,235,32
Intikhab Alam,1973-1976,4,2,0,17,10,8.50,45,37.77,0,0,0,0+,0+
Inzamam-ul-Haq,1991-2007,375,348,52,11701,137*,39.53,15769,74.20,10,83,20,970,143
Iqbal Qasim,1977-1988,15,7,1,39,13,6.50,90,43.33,0,0,2,3+,0+
Iqbal Sikander,1992-1992,4,1,1,1,1*,-,3,33.33,0,0,0,0,0
Irfan Bhatti,1993-1993,1,-,-,-,-,-,-,-,-,-,-,-,-
Irfan Fazil,2000-2000,1,1,0,15,15,15.00,16,93.75,0,0,0,0,0
Jalal-ud-Din,1982-1983,8,2,0,5,5,2.50,5,100.00,0,0,1,1,0
Javed Miandad,1975-1996,233,218,41,7381,119*,41.70,11014,67.01,8,50,8,445+,44+
Javed Qadeer,1995-1995,1,1,0,12,12,12.00,23,52.17,0,0,0,1,0
Junaid Khan,2011-2019,76,31,17,68,25,4.85,127,53.54,0,0,6,4,1
Junaid Zia,2003-2003,4,2,1,2,2*,2.00,7,28.57,0,0,1,0,0
Kabir Khan,1994-2000,10,5,4,10,5,10.00,25,40.00,0,0,0,0,0
Kamran Akmal,2002-2017,157,138,14,3236,124,26.09,3855,83.94,5,10,10,378,37
Kamran Hussain,2008-2008,2,1,1,28,28*,-,21,133.33,0,0,0,2,0
Kashif Raza,2001-2001,1,1,1,2,2*,-,2,100.00,0,0,0,0,0
Khalid Latif,2008-2010,5,5,0,147,64,29.40,228,64.47,0,1,1,13,0
Khurram Manzoor,2008-2009,7,7,0,236,83,33.71,375,62.93,0,3,1,21,0
Khushdil Shah,2020-2022,10,8,2,199,41*,33.16,210,94.76,0,0,0,14,7
