PlayerName,playYear,PlayingMatch,innings,Notout,runs,HighstScores,avarage,ballsFaced,BattingSR,Hundreds,fiftes,ducks,four,sixes
KJ Abbott,2013-2016,28,13,4,76,23,8.44,126,60.31,0,0,1,6,0
S Abrahams,2000-2000,1,1,1,16,16*,-,26,61.53,0,0,0,2,0
PR Adams,1996-2003,24,9,5,66,33*,16.50,124,53.22,0,0,2,5,0
HM Amla,2008-2019,181,178,14,8113,159,49.46,9178,88.39,27,39,4,822,53
AM Bacher,1997-2005,13,13,0,270,56,20.76,469,57.56,0,1,0,26,0
T Bavuma,2016-2022,20,19,2,730,113,42.94,889,82.11,2,2,0,61,5
F Behardien,2013-2018,59,49,14,1074,70,30.68,1097,97.90,0,6,4,79,25
DM Benkenstein,1998-2002,23,20,3,305,69,17.94,463,65.87,0,1,3,20,0
GH Bodi,2007-2007,2,2,0,83,51,41.50,132,62.87,0,1,0,9,1
N Boje,1995-2005,113,69,18,1410,129,27.64,1579,89.29,2,4,2,135,13
T Bosch,1992-1992,2,-,-,-,-,-,-,-,-,-,-,-,-
LE Bosman,2006-2010,13,11,0,299,88,27.18,293,102.04,0,2,2,37,9
J Botha,2005-2012,76,48,17,578,46,18.64,693,83.40,0,0,2,53,2
MV Boucher,1998-2011,290,216,57,4523,147*,28.44,5342,84.66,1,25,16,341,81
RE Bryson,1997-1997,7,4,3,32,17*,32.00,25,128.00,0,0,0,2,1
DJ Callaghan,1992-2000,29,25,6,493,169*,25.94,726,67.90,1,0,2,43,5
SJ Cook,1991-1993,4,4,0,67,35,16.75,118,56.77,0,0,1,4,0
WJ Cronje,1992-2000,188,175,31,5565,112,38.64,7277,76.47,2,39,8,366,94
DN Crookes,1994-2000,32,23,3,296,54,14.80,412,71.84,0,1,3,20,5
DJ Cullinan,1993-2000,138,133,16,3860,124,32.99,5492,70.28,3,23,10,298,33
CJ Dala,2018-2018,2,2,1,8,5,8.00,6,133.33,0,0,0,1,0
H Davids,2013-2013,2,2,0,8,7,4.00,24,33.33,0,0,0,0,0
AC Dawson,1998-2004,19,7,4,69,23*,23.00,67,102.98,0,0,0,9,1
Q de Kock,2013-2022,135,135,7,5833,178,45.57,6074,96.03,17,29,4,670,88
M de Lange,2012-2016,4,-,-,-,-,-,-,-,-,-,-,-,-
AB de Villiers,2005-2018,223,213,39,9427,176,54.17,9308,101.27,25,52,7,823,200
PS de Villiers,1992-1997,83,36,15,170,20*,8.09,218,77.98,0,0,7,13,2
HH Dippenaar,1999-2006,101,89,14,3300,125*,44.00,4887,67.52,4,25,3,317,16
AA Donald,1991-2003,164,40,18,95,13,4.31,279,34.05,0,0,12,2,0
JP Duminy,2004-2019,199,179,40,5117,150*,36.81,6052,84.55,4,27,7,347,75
DM Dupavillon,2020-2021,2,1,0,17,17,17.00,10,170.00,0,0,0,2,1
F du Plessis,2011-2019,143,136,20,5507,185,47.47,6215,88.60,12,35,3,495,66
CE Eksteen,1991-1994,6,2,2,6,6*,-,25,24.00,0,0,0,0,0
D Elgar,2012-2018,8,7,1,104,42,17.33,177,58.75,0,0,0,6,0
S Elworthy,1998-2002,39,16,8,100,23,12.50,160,62.50,0,0,3,10,1
BC Fortuin,2020-2022,3,2,1,1,1,1.00,6,16.66,0,0,0,0,0
HH Gibbs,1996-2010,248,240,16,8094,175,36.13,9721,83.26,21,37,22,930,128
AJ Hall,1999-2007,88,56,13,905,81,21.04,1206,75.04,0,3,5,90,10
PL Harris,2008-2008,3,-,-,-,-,-,-,-,-,-,-,-,-
M Hayward,1998-2002,21,5,1,12,4,3.00,28,42.85,0,0,1,0,0
CW Henderson,2001-2001,4,-,-,-,-,-,-,-,-,-,-,-,-
BE Hendricks,2019-2021,8,3,1,6,3,3.00,19,31.57,0,0,0,0,0
RR Hendricks,2018-2022,26,26,2,642,102,26.75,833,77.07,1,4,1,64,6
O Henry,1992-1992,3,3,1,20,11,10.00,26,76.92,0,0,0,2,0
AC Hudson,1991-1997,89,88,1,2559,161,29.41,3960,64.62,2,18,6,278,15
Imran Tahir,2011-2019,107,36,16,157,29,7.85,225,69.77,0,0,6,21,1
CA Ingram,2010-2013,31,29,3,843,124,32.42,1024,82.32,3,3,5,82,10
SD Jack,1994-1995,2,2,0,7,6,3.50,8,87.50,0,0,0,0,0
M Jansen,2022-2022,3,2,0,16,14,8.00,23,69.56,0,0,0,1,1
C Jonker,2018-2018,2,2,0,31,25,15.50,33,93.93,0,0,0,5,1
JH Kallis,1996-2014,323,309,53,11550,139,45.11,15793,73.13,17,86,17,910,137
JM Kemp,2001-2007,79,60,18,1371,100*,32.64,1656,82.78,1,9,5,88,52
JC Kent,2002-2002,2,-,-,-,-,-,-,-,-,-,-,-,-
G Kirsten,1993-2003,185,185,19,6798,188*,40.95,9436,72.04,13,45,11,659,20
PN Kirsten,1991-1994,40,40,6,1293,97,38.02,2308,56.02,0,9,0,90,8
H Klaasen,2018-2022,30,28,5,796,123*,34.60,837,95.10,1,4,1,72,16
RK Kleinveldt,2013-2013,10,7,0,105,43,15.00,124,84.67,0,0,1,9,5
L Klusener,1996-2004,171,137,50,3576,103*,41.10,3977,89.91,2,19,13,293,76
LJ Koen,1997-2000,5,5,0,82,28,16.40,169,48.52,0,0,1,9,0
GJP Kruger,2006-2006,3,2,1,0,0*,0.00,10,0.00,0,0,1,0,0
AP Kuiper,1991-1996,25,23,7,539,63*,33.68,662,81.41,0,3,0,37,11
CK Langeveldt,2001-2010,72,21,10,73,12,6.63,124,58.87,0,0,1,8,0
GFJ Liebenberg,1995-1998,4,4,0,94,39,23.50,199,47.23,0,0,0,8,0
GF Linde,2021-2021,2,2,1,27,18,27.00,29,93.10,0,0,0,3,0
J Louw,2008-2008,3,1,0,23,23,23.00,7,328.57,0,0,0,1,3
ND McKenzie,2000-2009,64,55,10,1688,131*,37.51,2432,69.40,2,10,2,142,8
R McLaren,2009-2014,54,41,15,485,71*,18.65,680,71.32,0,1,3,42,6
BM McMillan,1991-1998,78,52,16,841,127,23.36,1147,73.32,1,0,3,55,7
SSB Magala,2021-2022,3,1,0,0,0,0.00,2,0.00,0,0,1,0,0
KA Maharaj,2017-2022,26,13,2,159,28,14.45,167,95.20,0,0,0,21,1
JN Malan,2020-2022,23,22,2,958,177*,47.90,1150,83.30,3,4,2,97,16
AK Markram,2017-2022,44,41,3,1088,96,28.63,1246,87.31,0,5,4,116,20
CR Matthews,1991-1997,56,22,9,141,26,10.84,202,69.80,0,0,3,5,2
DA Miller,2010-2022,149,127,39,3656,139,41.54,3599,101.58,5,18,8,276,99
JA Morkel,2004-2012,56,41,10,760,97,24.51,750,101.33,0,2,1,69,25
M Morkel,2007-2018,114,45,17,239,32*,8.53,321,74.45,0,0,9,19,7
CH Morris,2013-2019,42,27,4,467,62,20.30,465,100.43,0,1,0,36,15
PV Mpitsang,1999-1999,2,1,1,1,1*,-,1,100.00,0,0,0,0,0
PWA Mulder,2017-2021,12,10,4,81,19*,13.50,100,81.00,0,0,0,11,0
A Nel,2001-2008,79,22,12,127,30*,12.70,166,76.50,0,0,2,14,3
L Ngidi,2018-2022,40,14,9,62,19*,12.40,104,59.61,0,0,2,4,4
A Nortje,2019-2022,17,5,1,25,10,6.25,40,62.50,0,0,1,1,0
M Ntini,1998-2009,172,46,23,199,42*,8.65,298,66.77,0,0,9,16,6
D Olivier,2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
JL Ontong,2001-2012,27,15,2,184,32,14.15,265,69.43,0,0,0,18,1
SJ Palframan,1996-1996,7,4,0,55,28,13.75,80,68.75,0,0,0,8,0
WD Parnell,2009-2022,69,40,14,534,56,20.53,686,77.84,0,1,3,39,8
D Paterson,2017-2019,4,-,-,-,-,-,-,-,-,-,-,-,-
AN Petersen,2006-2013,21,19,1,504,80,28.00,610,82.62,0,4,0,54,3
RJ Peterson,2002-2014,79,41,14,556,68,20.59,688,80.81,0,1,4,51,5
AM Phangiso,2013-2016,21,13,2,81,20,7.36,162,50.00,0,0,3,5,0
AL Phehlukwayo,2016-2022,74,47,16,742,69*,23.93,859,86.37,0,2,4,67,27
VD Philander,2007-2015,30,19,7,151,30*,12.58,213,70.89,0,0,3,14,0
SM Pollock,1996-2008,294,196,70,3193,90,25.34,3732,85.55,0,13,20,212,55
N Pothas,2000-2000,3,1,0,24,24,24.00,41,58.53,0,0,0,0,0
D Pretorius,2016-2022,27,13,1,192,50,16.00,224,85.71,0,1,1,14,5
AG Prince,2002-2007,49,38,11,940,89*,34.81,1382,68.01,0,2,2,72,4
MW Pringle,1992-1994,17,8,3,48,13*,9.60,56,85.71,0,0,1,2,0
AG Puttick,2005-2005,1,1,0,0,0,0.00,5,0.00,0,0,1,0,0
K Rabada,2015-2022,87,35,15,315,31*,15.75,381,82.67,0,0,2,26,7
JN Rhodes,1992-2003,245,220,51,5935,121,35.11,7336,80.90,2,33,12,392,47
CEB Rice,1991-1991,3,2,0,26,14,13.00,37,70.27,0,0,0,1,1
DJ Richardson,1991-1998,122,77,33,868,53,19.72,1298,66.87,0,1,6,33,1
MJR Rindel,1994-1999,22,22,1,575,106,27.38,860,66.86,1,2,1,56,0
RR Rossouw,2014-2016,36,35,3,1239,132,38.71,1313,94.36,3,7,5,131,22
JA Rudolph,2003-2006,43,37,6,1157,81,37.32,1685,68.66,0,7,0,107,5
DB Rundle,1994-1994,2,2,0,6,6,3.00,11,54.54,0,0,1,1,0
MW Rushmere,1992-1992,4,4,0,78,35,19.50,174,44.82,0,0,0,4,0
BN Schultz,1992-1992,1,-,-,-,-,-,-,-,-,-,-,-,-
T Shamsi,2016-2022,39,7,6,17,9*,17.00,31,54.83,0,0,1,1,0
TG Shaw,1991-1994,9,6,4,26,17*,13.00,35,74.28,0,0,1,1,0
M Shezi,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-
EO Simons,1994-1995,23,18,4,217,24,15.50,295,73.55,0,0,1,10,3
L Sipamla,2020-2021,5,2,2,14,10*,-,19,73.68,0,0,0,0,0
GC Smith,2002-2013,196,193,10,6989,141,38.19,8643,80.86,10,47,7,788,44
JT Smuts,2020-2021,6,5,1,180,84,45.00,229,78.60,0,1,0,20,1
RP Snell,1991-1996,42,28,8,322,63,16.10,330,97.57,0,2,1,20,4
ELR Stewart,1993-2002,6,6,2,61,23*,15.25,116,52.58,0,0,0,5,0
DW Steyn,2006-2019,123,49,12,361,60,9.75,547,65.99,0,1,8,35,9
PJR Steyn,1995-1995,1,1,0,4,4,4.00,14,28.57,0,0,0,0,0
PC Strydom,2000-2000,10,8,3,48,34,9.60,94,51.06,0,0,1,2,0
PL Symcox,1993-1999,80,54,13,694,61,16.92,830,83.61,0,3,6,48,22
R Telemachus,1998-2006,37,15,3,73,29,6.08,94,77.65,0,0,2,4,3
DJ Terbrugge,2000-2000,4,2,1,5,5,5.00,14,35.71,0,0,0,0,0
J Theron,2010-2010,4,1,0,5,5,5.00,5,100.00,0,0,0,0,0
MS Tshabalala,2007-2007,4,1,1,2,2*,-,3,66.66,0,0,0,0,0
LL Tsotsobe,2009-2013,61,21,13,56,16*,7.00,109,51.37,0,0,3,7,1
HE van der Dussen,2019-2022,38,32,10,1525,134,69.31,1696,89.91,3,11,1,108,28
RE van der Merwe,2009-2010,13,7,3,39,12,9.75,41,95.12,0,0,1,3,2
JJ van der Wath,2006-2007,10,8,2,89,37*,14.83,70,127.14,0,0,3,3,8
M van Jaarsveld,2002-2004,11,7,1,124,45,20.66,169,73.37,0,0,1,16,0
VB van Jaarsveld,2009-2009,2,2,0,9,5,4.50,15,60.00,0,0,0,0,0
MN van Wyk,2003-2015,17,17,1,425,82,26.56,617,68.88,0,4,2,48,4
CJPG van Zyl,1992-1992,2,2,1,3,3*,3.00,11,27.27,0,0,1,0,0
K Verreynne,2020-2022,12,10,1,371,95,41.22,439,84.51,0,4,0,25,10
KC Wessels,1991-1994,55,54,4,1627,90,32.54,3143,51.76,0,12,0,124,0
D Wiese,2015-2016,6,6,1,102,41*,20.40,115,88.69,0,0,0,7,5
HS Williams,1999-2000,7,2,1,8,7,8.00,11,72.72,0,0,0,0,0
LB Williams,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-
CM Willoughby,2000-2003,3,2,0,0,0,0.00,4,0.00,0,0,2,0,0
M Yachad,1991-1991,1,1,0,31,31,31.00,77,40.25,0,0,0,1,0
M Zondeki,2002-2008,11,2,2,4,3*,-,3,133.33,0,0,0,0,0
K Zondo,2018-2021,6,6,1,146,54,29.20,231,63.20,0,1,0,8,3
Zubayr Hamza,2021-2021,1,1,0,56,56,56.00,79,70.88,0,1,0,5,1
