PlayerName,playYear,PlayingMatch,innings,Notout,runs,HighstScores,avarage,ballsFaced,BattingSR,Hundreds,fiftes,ducks,four,sixes
FS Ahangama,1985-1985,1,-,-,-,-,-,-,-,-,-,-,-,-
KN Amalean,1986-1988,8,3,1,15,9,7.50,26,57.69,0,0,0,0,0
MKDI Amerasinghe,2007-2008,8,4,4,6,5*,-,9,66.66,0,0,0,1,0
SD Anurasiri,1986-1994,45,18,12,62,11,10.33,143,43.35,0,0,2,1+,0
MA Aponso,2016-2018,9,7,4,10,4,3.33,45,22.22,0,0,1,0,0
RP Arnold,1997-2007,180,155,43,3950,103,35.26,5443,72.57,1,28,7,284,21
KIC Asalanka,2021-2022,16,16,1,659,110,43.93,739,89.17,1,5,1,52,9
MS Atapattu,1990-2007,268,259,32,8529,132*,37.57,12594,67.72,11,59,13,734,15
HMCM Bandara,2006-2010,31,17,4,160,31,12.30,224,71.42,0,0,3,8,5
KMC Bandara,2016-2016,1,1,1,1,1*,-,3,33.33,0,0,0,0,0
KNA Bandara,2021-2021,5,5,1,141,55*,35.25,217,64.97,0,2,0,9,1
MRCN Bandaratilleke,1998-1998,3,1,0,0,0,0.00,2,0.00,0,0,1,0,0
M Bhanuka,2019-2021,6,6,0,140,36,23.33,194,72.16,0,0,0,13,2
JWHD Boteju,1999-1999,2,2,1,3,2,3.00,11,27.27,0,0,0,0,0
PVD Chameera,2015-2022,42,29,11,224,29,12.44,352,63.63,0,0,2,16,3
UDU Chandana,1994-2007,147,111,17,1627,89,17.30,2229,72.99,0,5,8,108,22
LD Chandimal,2010-2022,154,140,21,3807,111,31.99,5148,73.95,4,24,11,257,42
A Dananjaya,2012-2021,39,30,6,291,50*,12.12,417,69.78,0,1,3,25,3
PB Dassanayake,1993-1994,16,10,2,85,20*,10.62,142,59.85,0,0,0,3,0
RG de Alwis,1983-1988,31,27,8,401,59*,21.10,512,78.32,0,2,2,33+,7+
ALF de Mel,1982-1987,57,41,9,466,36,14.56,595,78.31,0,0,6,22+,3+
SI de Saram,1999-2001,15,13,2,183,38,16.63,270,67.77,0,0,0,12,1
DM de Silva,2016-2022,60,57,8,1325,91,27.04,1710,77.48,0,8,3,131,9
AM de Silva,1986-1993,4,2,0,12,8,6.00,24,50.00,0,0,0,0,0
DLS de Silva,1979-1979,2,1,0,10,10,10.00,35,28.57,0,0,0,0,0
DS de Silva,1975-1985,41,29,10,371,37*,19.52,691,53.69,0,0,0,23+,0+
EAR de Silva,1986-1992,28,20,6,138,19*,9.85,241,57.26,0,0,2,4,1
GN de Silva,1983-1985,4,2,1,9,7,9.00,18,50.00,0,0,0,0,0
GRA de Silva,1975-1982,6,4,2,9,6*,4.50,33,27.27,0,0,1,0+,0+
KSC de Silva,1996-2000,38,19,13,39,13*,6.50,92,42.39,0,0,4,3,1
PA de Silva,1984-2003,308,296,30,9284,145,34.90,11443,81.13,11,64,17,712+,102+
PC de Silva,2014-2017,7,7,1,94,44,15.66,112,83.92,0,0,0,10,0
PWH de Silva,2017-2022,31,29,5,604,80*,25.16,584,103.42,0,3,2,49,19
SKL de Silva,1997-1997,11,6,3,161,57,53.66,193,83.41,0,2,0,16,0
