PlayerName,playYear,PlayingMatch,innings,Notout,runs,HighstScores,avarage,ballsFaced,BattingSR,Hundreds,fiftes,ducks,four,sixes
JC Adams,1992-2001,127,105,28,2204,82,28.62,3614,60.98,0,14,7,148,3
FA Allen,2018-2022,20,16,3,200,51,15.38,203,98.52,0,1,2,18,8
SW Ambris,2017-2021,16,15,2,473,148,36.38,494,95.74,1,2,0,54,3
CEL Ambrose,1988-2000,176,96,36,639,31*,10.65,985,64.87,0,0,13,39,10
HAG Anthony,1995-1995,3,3,0,23,21,7.66,22,104.54,0,0,1,0,2
KLT Arthurton,1988-1999,105,93,20,1904,84,26.08,2822,67.46,0,9,12,132,19
RA Austin,1978-1978,1,1,0,8,8,8.00,13,61.53,0,0,0,0,0
SFAF Bacchus,1978-1983,29,26,3,612,80*,26.60,928,65.94,0,3,2,52+,1+
LS Baker,2008-2009,10,4,2,13,11*,6.50,23,56.52,0,0,1,2,0
OAC Banks,2003-2005,5,5,0,83,33,16.60,149,55.70,0,0,0,3,2
EAE Baptiste,1983-1990,43,16,4,184,31,15.33,241,76.34,0,0,0,9+,0
AB Barath,2010-2012,14,14,1,394,113,30.30,612,64.37,1,1,2,43,3
CS Baugh,2003-2012,47,35,11,482,49,20.08,719,67.03,0,0,2,37,7
RR Beaton,2017-2017,2,2,1,15,12*,15.00,51,29.41,0,0,0,2,0
KCG Benjamin,1992-1996,26,13,7,65,17,10.83,80,81.25,0,0,1,3,0
WKM Benjamin,1986-1995,85,52,12,298,31,7.45,406,73.39,0,0,10,18+,6+
SJ Benn,2008-2016,47,30,7,182,31,7.91,240,75.83,0,0,5,19,3
DE Bernard,2003-2010,20,12,2,141,38,14.10,219,64.38,0,0,1,10,0
CA Best,1986-1992,24,23,4,473,100,24.89,690,68.55,1,2,2,39+,4+
TL Best,2004-2014,26,16,8,76,24,9.50,125,60.80,0,0,1,7,0
D Bishoo,2011-2019,42,25,10,164,29*,10.93,263,62.35,0,0,8,17,1
IR Bishop,1988-1997,84,44,19,405,33*,16.20,776,52.19,0,0,3,14,5
MI Black,2001-2001,5,2,0,4,4,2.00,14,28.57,0,0,1,1,0
J Blackwood,2015-2022,3,3,1,23,12*,11.50,41,56.09,0,0,0,2,0
NE Bonner,2021-2022,6,6,1,85,31,17.00,135,62.96,0,0,2,6,0
KD Boyce,1973-1975,8,4,0,57,34,14.25,77,74.02,0,0,0,5,0
IDR Bradshaw,2004-2007,62,34,11,287,37,12.47,480,59.79,0,0,6,18,4
CR Brathwaite,2011-2019,44,37,3,559,101,16.44,614,91.04,1,1,2,38,24
KC Brathwaite,2016-2017,10,10,0,278,78,27.80,483,57.55,0,1,0,15,0
DJ Bravo,2004-2014,164,141,24,2968,112*,25.36,3606,82.30,2,10,11,240,58
DM Bravo,2009-2022,122,117,14,3109,124,30.18,4434,70.11,4,18,9,252,75
SSJ Brooks,2022-2022,21,21,1,694,101*,34.70,909,76.34,1,4,3,57,15
D Brown,2001-2002,3,2,1,10,9,10.00,20,50.00,0,0,0,0,1
BS Browne,1994-1994,4,3,2,8,8*,8.00,24,33.33,0,0,1,0,0
CO Browne,1995-2005,46,32,8,415,46*,17.29,590,70.33,0,0,3,27,5
PA Browne,2008-2008,5,5,1,134,49*,33.50,179,74.86,0,0,0,7,6
HR Bryan,1999-1999,15,8,2,43,11,7.16,71,60.56,0,0,1,4,0
DK Butler,2005-2006,5,4,3,25,13*,25.00,34,73.52,0,0,0,4,0
JD Campbell,2019-2019,6,5,0,248,179,49.60,214,115.88,1,0,0,25,8
SL Campbell,1994-2001,90,87,0,2283,105,26.24,3853,59.25,2,14,9,207,7
Y Cariah,2022-2022,3,2,1,53,52,53.00,85,62.35,0,1,0,2,1
JL Carter,2015-2019,33,28,3,581,54,23.24,822,70.68,0,3,1,48,10
KU Carty,2022-2022,9,7,1,145,43*,24.16,253,57.31,0,0,0,8,3
S Chanderpaul,1994-2011,268,251,40,8778,150,41.60,12408,70.74,11,59,6,722,85
J Charles,2012-2016,48,48,0,1283,130,26.72,1531,83.80,2,4,7,140,35
RL Chase,2017-2022,33,26,3,553,94,24.04,754,73.34,0,2,3,40,3
S Chattergoon,2006-2009,18,17,2,370,54*,24.66,615,60.16,0,2,2,54,3
ST Clarke,1978-1982,10,8,2,60,20,10.00,58,103.44,0,0,1,3,3
PT Collins,1999-2005,30,12,5,30,10*,4.28,50,60.00,0,0,2,1,0
