PlayerName,playYear,PlayingMatch,innings,Notout,runs,HighstScores,avarage,ballsFaced,BattingSR,Hundreds,fiftes,ducks,four,sixes
KJ Arnott,1987-1993,13,12,2,238,60,23.80,491,48.47,0,3,0,12,1
AM Blignaut,1999-2010,54,41,8,626,63*,18.96,589,106.28,0,5,3,62,13
DH Brain,1992-1995,23,18,4,117,27,8.35,171,68.42,0,0,2,10,2
EA Brandes,1987-1999,59,41,10,404,55,13.03,448,90.17,0,2,3,27,14
GB Brent,1996-2008,70,54,20,408,59*,12.00,698,58.45,0,1,3,25,5
GA Briant,1993-1993,5,5,2,39,16,13.00,69,56.52,0,0,1,2,0
RD Brown,1983-1987,7,7,0,110,38,15.71,334,32.93,0,0,0,8,0
GK Bruk-Jackson,1993-1993,1,1,0,12,12,12.00,33,36.36,0,0,0,2,0
RP Burl,2017-2022,34,30,5,517,59,20.68,729,70.91,0,3,1,39,11
MG Burmester,1992-1995,8,7,1,109,39,18.16,207,52.65,0,0,0,7,0
IP Butchart,1983-1995,20,16,2,252,54,18.00,395,63.79,0,1,2,17,1
ADR Campbell,1992-2003,188,184,14,5185,131*,30.50,7834,66.18,7,30,11,427+,44+
SV Carlisle,1995-2005,111,107,8,2740,121*,27.67,4325,63.35,3,9,11,209,28
RW Chakabva,2008-2022,61,57,3,1188,102,22.00,1751,67.84,1,4,3,93,9
BB Chari,2015-2020,14,14,0,186,39,13.28,399,46.61,0,0,0,12,2
TL Chatara,2013-2022,79,53,24,190,23,6.55,407,46.68,0,0,9,16,2
CJ Chibhabha,2005-2020,107,107,2,2418,99,23.02,3830,63.13,0,16,8,231,14
E Chigumbura,2004-2018,210,195,26,4289,117,25.37,5376,79.78,2,19,17,337,105
MT Chinouya,2013-2013,2,2,1,6,6*,6.00,8,75.00,0,0,1,1,0
TS Chisoro,2015-2020,21,17,6,146,42*,13.27,234,62.39,0,0,2,9,3
TL Chivanga,2022-2022,5,4,2,11,6*,5.50,16,68.75,0,0,0,2,0
CK Coventry,2003-2015,39,35,1,831,194*,24.44,937,88.68,1,3,5,62,29
AG Cremer,2009-2018,96,71,20,744,58,14.58,1196,62.20,0,1,7,48,5
GJ Crocker,1992-1993,6,5,1,98,50,24.50,105,93.33,0,1,0,7,2
KM Curran,1983-1987,11,11,0,287,73,26.09,430,66.74,0,2,1,21,4
KM Dabengwa,2005-2010,37,34,7,514,45,19.03,851,60.39,0,0,4,32,8
SG Davies,1996-1996,4,4,0,67,45,16.75,173,38.72,0,0,0,4,1
MH Dekker,1992-1996,23,22,2,379,79,18.95,798,47.49,0,2,0,16,3
KG Duers,1992-1992,6,2,1,7,5,7.00,20,35.00,0,0,0,0,0
T Duffin,2006-2007,23,23,0,546,88,23.73,993,54.98,0,3,1,57,0
DD Ebrahim,2001-2005,82,76,6,1443,121,20.61,2540,56.81,1,4,8,104,0
CR Ervine,2010-2022,105,101,11,2899,130*,32.21,3869,74.92,3,18,9,270,37
SM Ervine,2001-2004,42,34,7,698,100,25.85,816,85.53,1,2,5,62,14
EA Essop-Adam,1992-1992,1,1,1,14,14*,-,15,93.33,0,0,0,1,0
B Evans,2022-2022,8,7,2,81,33*,16.20,105,77.14,0,0,0,6,1
CN Evans,1992-2002,53,47,5,764,96*,18.19,1006,75.94,0,2,3,65,16
GM Ewing,2004-2005,7,7,0,97,46,13.85,137,70.80,0,0,2,9,0
DAG Fletcher,1983-1983,6,6,2,191,71*,47.75,289,66.08,0,2,0,14,0
A Flower,1992-2003,213,208,16,6786,145,35.34,9097,74.59,4,55,13,532+,26+
GW Flower,1992-2010,221,214,18,6571,142*,33.52,9723,67.58,6,40,18,557+,37+
TJ Friend,2000-2004,51,39,5,548,91,16.11,724,75.69,0,3,5,54,6
TN Garwe,2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,-
MW Goodwin,1998-2000,71,70,3,1818,112*,27.13,2654,68.50,2,8,1,160,8
TR Gripper,2001-2003,8,8,0,80,26,10.00,187,42.78,0,0,1,5,0
JG Heron,1983-1983,6,6,0,50,18,8.33,163,30.67,0,0,1,3,0
RS Higgins,2006-2006,11,8,2,15,7*,2.50,63,23.80,0,0,3,0,0
VR Hogg,1983-1983,2,1,1,7,7*,-,19,36.84,0,0,0,0,0
DT Hondo,2001-2005,56,29,12,127,17,7.47,249,51.00,0,0,4,14,0
DL Houghton,1983-1997,63,60,2,1530,142,26.37,2155,70.99,1,12,5,116,21
AG Huckle,1997-1999,19,8,4,9,5*,2.25,16,56.25,0,0,3,1,0
AJ Ireland,2005-2007,26,13,5,30,8*,3.75,101,29.70,0,0,3,2,0
WR James,1992-1996,11,8,1,101,29,14.42,255,39.60,0,0,1,4,0
KM Jarvis,2009-2019,49,33,10,222,37,9.65,337,65.87,0,0,4,22,3
MP Jarvis,1987-1995,12,5,3,37,17,18.50,67,55.22,0,0,0,2,1
NC Johnson,1998-2000,48,48,2,1679,132*,36.50,2389,70.28,4,11,2,173,12
LM Jongwe,2014-2022,36,31,4,352,46,13.03,440,80.00,0,0,3,35,6
